name,type,provider,repo_or_source_id,license,gated,revision,local_status,max_vram_gb,used_in_notebooks,gt_tier,notes
ARENA 3.0 source course,course_repo,GitHub,callummcdougall/ARENA_3.0,MIT,false,f9f034bdb5b8748f44e8b4533b5c5bea68dc8bc0,REQUIRED,0,1.6,GT-1,Original course must remain behaviorally preserved.
Local PyTorch CUDA 13.2 runtime,runtime,uv environment,torch;torchvision;python,mixed,false,python 3.14.6; torch 2.12.1+cu132; torchvision 0.27.1+cu132,REQUIRED,24,1.6,GT-1,Validated on RTX 5090 Laptop GPU with CUDA 13.2 and BF16 matmul.
Course fake-result diagnostics,dataset,generated,course_generated_fake_result_diagnostics_v1,course_generated,false,seed_0,GENERATED_BY_COURSE,0,0.6,GT-0,"Deterministic leakage, cherry-pick, probe-overfit, and random-direction controls."
TransformerLens,tooling,Python,TransformerLensOrg/TransformerLens,MIT,false,2.18.0,REQUIRED,24,1.6;7.1;7.2;7.3;7.4;7.5;8.1;8.2;8.3;8.4,GT-1,Hook and cache interface for transformer model organisms.
NNsight,tooling,Python,ndif-team/nnsight,Apache-2.0,false,0.7.0,REQUIRED,24,8.1;9.1,GT-1,Intervention tooling for local or remote graph execution.
SAELens,tooling,Python,SAELens,MIT,false,6.44.4,REQUIRED,24,5.2;6.1;6.2;6.3,GT-1,SAE loading and evaluation tooling.
Attribution libraries,tooling,Python,captum;shap;shapiq;inseq,mixed,false,captum 0.9.0; shap 0.49.1; shapiq 1.5.2,REQUIRED,24,8.2;16.1;16.2;16.3;16.4;16.5;16.6;16.7;16.8;future_SHAP,GT-0,inseq remains isolated because current releases conflict with TransformerLens typeguard.
PEFT stack,tooling,Python,peft;bitsandbytes;accelerate,mixed,false,peft 0.19.1; bitsandbytes 0.49.2; accelerate 1.14.0,REQUIRED,24,15.1,GT-1,bitsandbytes uses BNB_CUDA_VERSION=130 with CUDA 13.2 torch.
Diffusers,tooling,Python,huggingface/diffusers,Apache-2.0,false,0.38.0,REQUIRED,24,13.1,GT-1,"Pinned image-generation pipeline stack used for SD-Turbo and SD1.5 safe-shape generation, cross-attention capture, token ablation, and image-quality controls."
GPT-2 small,language_model,TransformerLens,gpt2-small,MIT,false,f54c09fd23315a6f9c86f9dc80f725de7d8f9c64,OPTIONAL_FUTURE,8,future_IOI_full_replication,GT-2,"Core IOI, induction, patching, and SAE model organism."
GELU 1L512W C4 Code,language_model,Hugging Face via TransformerLens,NeelNanda/GELU_1L512W_C4_Code,MIT,false,bddc0e332f0ae84279e6a6a45d91b314899e1603,REQUIRED,1,7.1;7.2;7.3;7.4;7.5;8.1;8.2;8.3;8.4,GT-1,Pinned small TransformerLens checkpoint used for real residual-stream activation-patching preflight.
Pythia 70M deduped,language_model,Hugging Face,EleutherAI/pythia-70m-deduped,Apache-2.0,false,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,REQUIRED,8,6.3;8.5;9.1;9.2;11.1,GT-2,"Small real LM target matched to released Sparse Feature Circuits SAE artifacts, safe 9.1 category hidden-state preflight, and 11.1 weekday geometry preflight."
Qwen2.5 0.5B Instruct,instruction_model,Hugging Face,Qwen/Qwen2.5-0.5B-Instruct,Qwen license,false,7ae557604adf67be50417f59c2c2f167def9a775,REQUIRED,4,9.1,GT-2,Pinned instruction-model target for 9.1 sanitized no-generation addition/projection-out checks plus the public refusal/compliance GT-2 aggregate completion path with raw prompt and completion text omitted from artifacts.
Refusal compliance pairs,dataset,Hugging Face,josephmayo/refusal-compliance-pairs,unknown,false,b6ed3432f1d4a695e13be1c373bf7fb5af43f376,REQUIRED,0,9.1,GT-2,"Public refusal/compliance prompt-pair dataset used by 9.1 for held-out direction separation, layer/position/PCA controls, and aggregate-only behavioral completion effects; raw prompt text is not saved in course artifacts."
TinyStories,dataset_and_model_family,Hugging Face,roneneldan/TinyStories,CDLA-Permissive-2.0,false,f54c09fd23315a6f9c86f9dc80f725de7d8f9c64,REQUIRED,8,15.1,GT-3,Small text target for LoRA proxy work.
BGE small EN v1.5,embedding_model,Hugging Face,BAAI/bge-small-en-v1.5,MIT,false,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,REQUIRED,4,5.6,GT-1,Public embedding-model preflight for controlled retrieval and permuted-pair controls.
EmbeddingGemma 300M,embedding_model,Hugging Face,google/embeddinggemma-300m,Gemma terms,manual,57c266a740f537b4dc058e1b0cda161fd15afa75,REQUIRED,8,5.6,GT-1,Authenticated EmbeddingGemma retrieval preflight verified in 5.6 on generated query/document pairs with permuted-pair controls.
FunctionGemma 270M IT,function_calling_model,Hugging Face,google/functiongemma-270m-it,Gemma terms,manual,39eccb091651513a5dfb56892d3714c1b5b8276c,REQUIRED,8,5.6,GT-1,Authenticated base FunctionGemma repo directly loaded in 5.6 for a benign CUDA forward pass; the public Mobile Actions derivative remains the held-out function-calling evaluation path.
FunctionGemma 270M Mobile Actions,function_calling_model,Hugging Face,litert-community/FunctionGemma_270M_Mobile_Actions,Gemma terms,false,e2226c1def35c5443942ebdb90a1da2a9eda836a,REQUIRED,2,5.6,GT-1,Public safetensors FunctionGemma derivative used for Mobile Actions function-call generation and structured-argument validation.
Othello-GPT,world_model,Hugging Face,NeelNanda/Othello-GPT-Transformer-Lens,unknown,false,905ca1a68b9f7dff77adc56af1962e5f6fcac274,REQUIRED,8,14.1;16.1;future_SHAP,GT-2,Board-state world-model interpretability target.
Gemma 3 1B IT,language_model,Hugging Face,google/gemma-3-1b-it,Gemma terms,true,dcc83ea841ab6100d6b47a070329e1ba4cf78752,REQUIRED,24,5.1;5.2;6.2,GT-1,Modern transformer target; use quantization if needed.
Gemma Scope 2,sae_artifact,Hugging Face,google/gemma-scope-2-1b-it,Gemma terms,true,b0fa29457c3601df0a70c48a15534c738d7c10e0,REQUIRED,2,5.2;6.2,GT-1,Pinned 1B-IT layer-13 residual JumpReLU SAE preflight plus authenticated Gemma 3 layer-13 activation validation on a narrow benign semantic split with random-feature and label-shuffle controls.
Mamba 130M,sequence_model,Hugging Face,state-spaces/mamba-130m-hf,Apache-2.0,false,1e76775f628fbf1350fbe4dbb3d971ba64af25a1,REQUIRED,8,5.3;5.4,GT-1,Safetensors HF checkpoint used for official Mamba logits/generation preflight in 5.3 and hidden-state extraction preflight in 5.4.
CLIP ViT-B/32,vision_language_model,Hugging Face,openai/clip-vit-base-patch32,MIT,false,3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268,REQUIRED,8,12.1;13.1;16.5,GT-1,"Pinned CLIP contrastive baseline used for rendered-shape retrieval, object-region patching, hidden visual-token activation patching, generated-image alignment controls, and VLM SHAP region/modality attribution."
SigLIP base,vision_language_model,Hugging Face,google/siglip-base-patch16-224,Apache-2.0,false,7fd15f0689c79d79e38b1c2e2e2370a7bf2761ed,REQUIRED,8,12.1,GT-1,"Pinned SigLIP safetensors rendered-shape retrieval, object-region patching, hidden visual-token activation patching, and pairwise loss baseline."
Qwen2.5-VL 3B Instruct,generative_vlm,Hugging Face,Qwen/Qwen2.5-VL-3B-Instruct,Qwen license,false,66285546d2b821cf421d4f5eb2576359d3770cd3,REQUIRED,12,12.1,GT-1,Pinned generative VLM rendered-shape generation preflight with red-square and blue-circle counterfactual controls.
Stable Diffusion Turbo,image_generation_model,Hugging Face,stabilityai/sd-turbo,see_model_card,false,b261bac6fd2cf515557d5d0707481eafa0485ec2,REQUIRED,8,13.1,GT-1,"Pinned safetensors SD-Turbo generation preflight scored by real CLIP, with captured cross-attention maps for safe shape-token localization."
Stable Diffusion v1.5,image_generation_model,Hugging Face,stable-diffusion-v1-5/stable-diffusion-v1-5,CreativeML Open RAIL-M,false,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,REQUIRED,16,13.1,GT-1,"Pinned SD1.5 safe-shape path with DAAM-style cross-attention localization, target-token ablation, random-token controls, image-quality preservation, and white-noise rejection."
V-JEPA 2 ViT-L,world_model,Hugging Face,facebook/vjepa2-vitl-fpc64-256,CC-BY-NC,false,b3c1679b7c34d3255ef3547f27c7b226aefab26f,REQUIRED,24,14.1,GT-1,Pinned V-JEPA 2 ViT-L feature-extraction preflight target for synthetic video controls.
Synthetic colored-shapes VLM data,dataset,generated,course_generated_colored_shapes_v1,course_generated,false,seed_12345,GENERATED_BY_COURSE,0,12.1;future_VLM_geometry,GT-3,Controlled object/color/count/spatial labels.
Safe refusal proxy prompts,dataset,generated,course_generated_refusal_proxy_prompts_v1,course_generated,false,seed_123,GENERATED_BY_COURSE,0,9.1;15.1,GT-3,Sanitized JSONL prompt pairs with redaction support.
Course LoRA adapters,adapter,generated,rank1_sentiment;rank4_json;safe_proxy_loras,course_generated,false,rank1_safe_proxy_seed0_steps160,GENERATED_BY_COURSE,24,15.1;future_PEFT,GT-0,"Section 15.1 trains a generated rank-1 safe proxy adapter with fixed seed, merge parity, random-label control, and same-norm random-adapter control."
Course modular-addition training checkpoints,dataset,generated,course_generated_modular_addition_checkpoints_v1,course_generated,false,seed_0_mod13_steps80,GENERATED_BY_COURSE,1,17.1,GT-0,"Section 17.1 trains a tiny modular-addition MLP on CUDA, saves and reloads checkpoints, and compares true labels against a random-label control."
